Institute,Course,Quota,Candidate Category,Min_Rank,Max_Rank,Count,Percentile_40,Most_Probable_Round
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,All India,OBC,11795,16841,11,45640.2,R2
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,All India,OBC PwD,604541,604541,1,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,All India,SC,77562,94498,5,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,All India,ST,77834,133244,3,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,Employees State Insurance Scheme(ESI),EWS,33913,54835,9,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,Employees State Insurance Scheme(ESI),General,34932,52630,16,45640.2,R2
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,Employees State Insurance Scheme(ESI),OBC,38588,53687,29,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,Employees State Insurance Scheme(ESI),SC,193210,234738,11,45640.2,R1
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",MBBS,Employees State Insurance Scheme(ESI),ST,109930,472571,5,45640.2,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,All India,EWS,6212,9021,2,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,All India,General,4438,9951,14,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,All India,OBC,7264,12540,8,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,All India,SC,36488,70811,5,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,All India,ST,69188,78268,3,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Employees State Insurance Scheme(ESI),EWS,24527,46980,5,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Employees State Insurance Scheme(ESI),General,6262,41691,8,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Employees State Insurance Scheme(ESI),OBC,25547,45940,21,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Employees State Insurance Scheme(ESI),SC,58411,193666,8,30226.600000000002,R1
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",MBBS,Employees State Insurance Scheme(ESI),ST,269335,353767,3,30226.600000000002,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,All India,EWS,12459,19540,2,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,All India,General,4348,14136,13,46767.2,R2
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,All India,OBC,9211,16956,10,46767.2,R3
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,All India,SC,51301,97075,4,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,All India,ST,88703,133663,3,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,Employees State Insurance Scheme(ESI),EWS,28211,53932,8,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,Employees State Insurance Scheme(ESI),General,31552,54601,12,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,Employees State Insurance Scheme(ESI),OBC,37563,55255,31,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,Employees State Insurance Scheme(ESI),SC,141404,231007,11,46767.2,R1
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",MBBS,Employees State Insurance Scheme(ESI),ST,523222,586839,5,46767.2,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College",MBBS,Employees State Insurance Scheme(ESI),SC,125905,125905,1,125905.0,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,EWS,7704,11664,4,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,General,4826,9253,3,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,General PwD,500903,500903,1,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,OBC,4799,10098,12,10724.400000000003,R2
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,SC,62195,63399,2,10724.400000000003,R2
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,All India,ST,71073,90652,4,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,Employees State Insurance Scheme(ESI),EWS,16007,24440,7,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,Employees State Insurance Scheme(ESI),General,9724,22331,3,10724.400000000003,R2
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,Employees State Insurance Scheme(ESI),OBC,13713,26429,8,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,Employees State Insurance Scheme(ESI),SC,122042,145810,2,10724.400000000003,R1
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",MBBS,Employees State Insurance Scheme(ESI),ST,166665,166665,1,10724.400000000003,R1
"FACULTY OF DEN SCI, KG MED UNIV, LUCKN OW, SHAHMIN A ROAD, CHOWK, LUC KNOW, Uttar Pradesh, 226003",BDS,All India,EWS,28292,32222,2,26002.0,R1
"FACULTY OF DEN SCI, KG MED UNIV, LUCKN OW, SHAHMIN A ROAD, CHOWK, LUC KNOW, Uttar Pradesh, 226003",BDS,All India,General,17513,25078,3,26002.0,R1
"FACULTY OF DEN SCI, KG MED UNIV, LUCKN OW, SHAHMIN A ROAD, CHOWK, LUC KNOW, Uttar Pradesh, 226003",BDS,All India,OBC,24500,29714,7,26002.0,R2
"FACULTY OF DEN SCI, KG MED UNIV, LUCKN OW, SHAHMIN A ROAD, CHOWK, LUC KNOW, Uttar Pradesh, 226003",BDS,All India,SC,124826,160222,2,26002.0,R2
"FACULTY OF DEN SCI, KG MED UNIV, LUCKN OW, SHAHMIN A ROAD, CHOWK, LUC KNOW, Uttar Pradesh, 226003",BDS,All India,ST,172616,201110,2,26002.0,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Jamia Internal Quota,EWS,67120,67120,1,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Jamia Internal Quota,General,63805,63805,1,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Jamia Internal Quota,OBC,81109,81109,1,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim OBC Quota,OBC,26068,39288,8,31474.8,R2
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Quota,EWS,30188,35473,3,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Quota,General,26411,38122,14,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Quota,OBC,29445,34805,6,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim ST Quota,ST,168213,168213,1,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Women Quota,EWS,34738,34738,1,31474.8,R2
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Women Quota,General,26656,27631,2,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Muslim Women Quota,OBC,27983,37457,5,31474.8,R2
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open Seat Quota,EWS,27010,32958,4,31474.8,R2
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open Seat Quota,GNYes,915838,915838,1,31474.8,R2
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open Seat Quota,General,24278,38215,16,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open Seat Quota,General PwD,1160132,1160132,1,31474.8,R1
"Faculty of Dentistry, Jamia Millia Islamia, New Delhi, Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",BDS,Open Seat Quota,OBC,20556,39018,15,31474.8,R3
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,EWS,11832,25088,5,22387.0,R1
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,General,16963,22882,5,22387.0,R2
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,OBC,15843,24189,10,22387.0,R3
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,OBC PwD,835898,835898,1,22387.0,R1
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,SC,68016,126269,4,22387.0,R1
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,All India,ST,102628,132035,3,22387.0,R2
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,EWS,4650,8493,6,6062.4,R2
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,General,3003,6734,21,6062.4,R2
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,General PwD,366122,366122,1,6062.4,R1
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,OBC,3912,8079,20,6062.4,R1
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,SC,24426,56454,10,6062.4,R1
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,All India,ST,62634,99067,5,6062.4,R2
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,EWS,6552,12486,6,9281.6,R3
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,GNYes,504752,638119,2,9281.6,R2
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,General,3635,9629,11,9281.6,R2
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,General PwD,513671,513671,1,9281.6,R1
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,OBC,5535,11013,16,9281.6,R1
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,SC,6822,86074,11,9281.6,R3
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MBBS,All India,ST,68219,103602,5,9281.6,R2
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,EWS,5127,11799,10,7201.2,R1
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,GNYes,513753,513753,1,7201.2,R3
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,General,3270,8687,22,7201.2,R2
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,General PwD,559218,559218,1,7201.2,R1
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,OBC,4124,10094,18,7201.2,R1
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,SC,42302,80028,8,7201.2,R1
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,All India,ST,29986,97192,4,7201.2,R3
"GDC, PT.BDS UNIV.OF HEALTH SCI, ROHTAK, Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,All India,EWS,27204,42540,4,36456.2,R2
"GDC, PT.BDS UNIV.OF HEALTH SCI, ROHTAK, Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,All India,General,10102,40524,5,36456.2,R3
"GDC, PT.BDS UNIV.OF HEALTH SCI, ROHTAK, Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,All India,OBC,16113,47268,16,36456.2,R2
"GDC, PT.BDS UNIV.OF HEALTH SCI, ROHTAK, Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,All India,SC,74364,172199,5,36456.2,R1
"GDC, PT.BDS UNIV.OF HEALTH SCI, ROHTAK, Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",BDS,All India,ST,180714,241391,2,36456.2,R2
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Deemed/Paid Seats Quota,EWS,139678,584592,4,530918.4,R1
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Deemed/Paid Seats Quota,General,58805,874883,114,530918.4,R1
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Deemed/Paid Seats Quota,OBC,45467,824546,44,530918.4,R1
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Deemed/Paid Seats Quota,SC,324544,757448,11,530918.4,R2
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Deemed/Paid Seats Quota,ST,372913,676045,2,530918.4,R1
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Non-Resident Indian,General,518181,1075929,15,530918.4,R2
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Non-Resident Indian,OBC,410122,1278753,8,530918.4,R3
"GITAM Institue of Med. Sce. and Res., Visakhapatna m, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatna m, Andhra Pradesh, 530045",MBBS,Non-Resident Indian,SC,626608,1200578,2,530918.4,R2
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",MBBS,All India,EWS,8406,15526,3,13421.2,R1
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",MBBS,All India,General,8412,14035,5,13421.2,R2
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",MBBS,All India,OBC,10280,13763,8,13421.2,R2
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",MBBS,All India,SC,51665,87129,4,13421.2,R1
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",MBBS,All India,ST,51245,95921,3,13421.2,R1
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,EWS,24141,24174,2,23603.2,R2
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,GNYes,1063784,1063784,1,23603.2,R2
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,General,15069,23049,4,23603.2,R3
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,General PwD,737003,737003,1,23603.2,R1
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,OBC,18191,23834,8,23603.2,R3
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,SC,91573,127291,3,23603.2,R3
"GMC Jangaon, gmc.jangaon@gmail. com, Telangana, 506167",MBBS,All India,ST,150808,150808,1,23603.2,R3
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,EWS,16179,17101,3,16003.0,R3
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,EWS PwD,919550,919550,1,16003.0,R1
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,GNYes,674476,1010932,2,16003.0,R2
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,General,10145,15727,3,16003.0,R1
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,General PwD,461302,461302,1,16003.0,R1
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,OBC,9371,16063,12,16003.0,R1
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,SC,63352,94332,6,16003.0,R3
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",MBBS,All India,ST,91254,110966,3,16003.0,R3
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",MBBS,All India,EWS,27325,27614,2,23662.6,R3
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",MBBS,All India,General,17421,23649,5,23662.6,R3
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",MBBS,All India,OBC,22159,24351,6,23662.6,R3
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",MBBS,All India,SC,129918,130247,2,23662.6,R3
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",MBBS,All India,ST,147193,158669,2,23662.6,R2
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",MBBS,All India,EWS,11412,14624,4,12115.2,R2
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",MBBS,All India,General,7118,13566,5,12115.2,R1
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",MBBS,All India,OBC,8933,14652,14,12115.2,R1
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",MBBS,All India,SC,89265,91867,2,12115.2,R2
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",MBBS,All India,ST,103896,107118,2,12115.2,R2
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,EWS,22725,26046,3,9112.4,R3
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,GNYes,605829,605829,1,9112.4,R2
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,General,4435,9382,4,9112.4,R2
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,General PwD,449626,449626,1,9112.4,R1
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,OBC,2184,9617,12,9112.4,R1
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,SC,72554,124856,5,9112.4,R1
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",MBBS,All India,ST,113129,123405,3,9112.4,R1
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,EWS,24840,26920,2,22454.4,R2
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,EWS PwD,267698,267698,1,22454.4,R3
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,General,16313,22562,9,22454.4,R3
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,OBC,16931,23967,13,22454.4,R3
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,OBC PwD,1183855,1297492,2,22454.4,R2
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,SC,67106,126155,5,22454.4,R1
"GMC, Rajamahendra varam, Govern ment Medical College, D.No. 55-4-1, Central Jail Road, Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,All India,ST,140377,159140,2,22454.4,R2
"GMC, Shahjhanpur, AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar Pradesh, 242001",MBBS,All India,EWS,13680,18832,4,15474.0,R2
